Id,Designator,Package,Quantity,Designation,Supplier and ref
1,REF**,OSHW-Logo2_7.3x6mm_SilkScreen,1,OSHW-Logo2_7.3x6mm_SilkScreen,
2,IC2,DIP-8_W7.62mm_Socket,1,TL072P,
3,IC1,DIP-8_W7.62mm_Socket,1,NE555,
4,"C6,C5,C4",CP_Radial_D5.0mm_P2.50mm,3,CP,
5,"T2,T1,T3",TO-92,3,2N3904,
6,"C7,C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100n,
7,"C1,C2",C_Disc_D7.5mm_W2.5mm_P5.00mm,2,10n,
8,C3,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,330n,
9,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,22k,
10,"R10,R7,R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,100R,
11,"R2,R4,R6,R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,4,4k7,
12,"R3,R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,10k,
13,"R11,R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,22R,
14,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1M,
15,"D1,D2,D3,D4,D5,D6,D7",D-2.5,7,1N4148,
16,"RELEASE1,ATTACK1,DECAY1",9MM_SNAP-IN_POT,3,1M,
17,SUSTAIN1,9MM_SNAP-IN_POT,1,10k,
18,"IN1,OUT1",WQP-PJ301M-12_JACK,2,THONKICONNNEW,
19,SW1,SUBMINI_TOGGLE,1,SUBMINI_SPDT,
20,LOCK1,EURO_PWR_HEADER_LOCK,1,EURO_POWER_LOCK,
